name,base_health_point,base_attack,base_defence,base_speed,element_type,image_url
bulbasaur,45,49,49,45,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
ivysaur,60,62,63,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
venusaur,80,82,83,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
venusaur-mega,80,100,123,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png
charmander,39,52,43,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
charmeleon,58,64,58,80,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
charizard,78,84,78,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
charizard-mega-x,78,130,111,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png
charizard-mega-y,78,104,78,100,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png
squirtle,44,48,65,43,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
wartortle,59,63,80,58,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
blastoise,79,83,100,78,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
blastoise-mega,79,103,120,78,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png
caterpie,45,30,35,45,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
metapod,50,20,55,30,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
butterfree,60,45,50,70,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
weedle,40,35,30,50,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
kakuna,45,25,50,35,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
beedrill,65,90,40,75,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
